pmid,authors
17383233,"Kalinna, Bernd H|Brindley, Paul J"
18267968,"Ui-Tei, Kumiko|Naito, Yuki|Zenno, Shuhei|Nishi, Kenji|Yamato, Kenji|Takahashi, Fumitaka|Juni, Aya|Saigo, Kaoru"
8331071,"Masters, M|Colloms, M D|Oliver, I R|He, L|Macnaughton, E J|Charters, Y"
17342262,"Yang, Huiling|He, Shuya|Quan, Zhihua|Peng, Weixia|Yan, Bin|Liu, Jianghua|Wen, Fang|Cao, Renxian|Xu, Yangyan|Wen, Gebo|Hu, Weixin"
14704433,"Verdel, Andr&eacute;|Jia, Songtao|Gerber, Scott|Sugiyama, Tomoyasu|Gygi, Steven|Grewal, Shiv I S|Moazed, Danesh"
14737201,"Robinson, Richard"
16564017,"Moffat, Jason|Grueneberg, Dorre A|Yang, Xiaoping|Kim, So Young|Kloepfer, Angela M|Hinkle, Gregory|Piqani, Bruno|Eisenhaure, Thomas M|Luo, Biao|Grenier, Jennifer K|Carpenter, Anne E|Foo, Shi Yin|Stewart, Sheila A|Stockwell, Brent R|Hacohen, Nir|Hahn, William C|Lander, Eric S|Sabatini, David M|Root, David E"
16949041,"Lin, Lin|Chen, Lianxu|Wang, Haijun|Wei, Xuelei|Fu, Xin|Zhang, Jiying|Ma, Kangtao|Zhou, Chunyan|Yu, Changlong"
15556399,"Manoharan, Muthiah"
16809774,"Liu, Beiyu|Molina, Henrik|Kalume, Dario|Pandey, Akhilesh|Griffith, Jack D|Englund, Paul T"
18628398,"Gilchrist, Daniel A|Nechaev, Sergei|Lee, Chanhyo|Ghosh, Saikat Kumar B|Collins, Jennifer B|Li, Leping|Gilmour, David S|Adelman, Karen"
15449898,"Seya, Tsukasa|Shingai, Masashi|Matsumoto, Misako"
14499625,"Pasierbek, Pawel|F&ouml;dermayr, Mathilde|Jantsch, Verena|Jantsch, Michael|Schweizer, Dieter|Loidl, Josef"
15589161,"Landthaler, Markus|Yalcin, Abdullah|Tuschl, Thomas"
18456361,"Zhou, Kai|He, Hongxuan|Wu, Yanyun|Duan, Mingxing"
16400167,"Brown, Silvia V|Hosking, Paul|Li, Jinlei|Williams, Noreen"
16449319,"Bayraktar, Jennifer|Zygmunt, Deborah|Carthew, Richard W"
12468005,"Gan, L|Anton, K E|Masterson, B A|Vincent, V A M|Ye, S|Gonzalez-Zulueta, M"
12533541,"Bianchi, Laura|Kwok, Suk-Mei|Driscoll, Monica|Sesti, Federico"
16129829,"Zhao, Wei-meng|Fang, Guowei"
17088293,"Han, Jung Yeon|Kwon, Yong Soo|Yang, Deok Chun|Jung, Young Rim|Choi, Yong Eui"
